symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2021-03-09 00:00:00+00:00,2052.7,2078.04,2047.83,2070.0,1697306,2052.7,2078.04,2047.83,2070.0,1697306,0.0,1.0
GOOG,2021-03-10 00:00:00+00:00,2055.03,2075.0,2033.37,2071.76,1268592,2055.03,2075.0,2033.37,2071.76,1268592,0.0,1.0
GOOG,2021-03-11 00:00:00+00:00,2114.77,2125.7,2072.38,2074.06,1239080,2114.77,2125.7,2072.38,2074.06,1239080,0.0,1.0
GOOG,2021-03-12 00:00:00+00:00,2061.92,2090.26,2047.55,2085.0,1725794,2061.92,2090.26,2047.55,2085.0,1725794,0.0,1.0
GOOG,2021-03-15 00:00:00+00:00,2066.49,2067.06,2043.51,2062.3,1298325,2066.49,2067.06,2043.51,2062.3,1298325,0.0,1.0
GOOG,2021-03-16 00:00:00+00:00,2092.52,2123.56,2070.0,2078.99,1491564,2092.52,2123.56,2070.0,2078.99,1491564,0.0,1.0
GOOG,2021-03-17 00:00:00+00:00,2091.08,2109.78,2054.0,2076.03,1299016,2091.08,2109.78,2054.0,2076.03,1299016,0.0,1.0
GOOG,2021-03-18 00:00:00+00:00,2036.22,2075.5,2033.55,2061.0,1362430,2036.22,2075.5,2033.55,2061.0,1362430,0.0,1.0
GOOG,2021-03-19 00:00:00+00:00,2043.2,2053.1,2017.68,2042.05,2314893,2043.2,2053.1,2017.68,2042.05,2314893,0.0,1.0
GOOG,2021-03-22 00:00:00+00:00,2038.59,2057.99,2026.07,2041.84,1954816,2038.59,2057.99,2026.07,2041.84,1954816,0.0,1.0
GOOG,2021-03-23 00:00:00+00:00,2052.96,2072.3025,2039.22,2051.7,1366997,2052.96,2072.3025,2039.22,2051.7,1366997,0.0,1.0
GOOG,2021-03-24 00:00:00+00:00,2045.06,2078.21,2041.555,2065.37,1154029,2045.06,2078.21,2041.555,2065.37,1154029,0.0,1.0
GOOG,2021-03-25 00:00:00+00:00,2044.36,2058.87,2010.73,2044.81,1418907,2044.36,2058.87,2010.73,2044.81,1418907,0.0,1.0
GOOG,2021-03-26 00:00:00+00:00,2035.55,2050.99,2014.0201,2038.86,1493800,2035.55,2050.99,2014.0201,2038.86,1493800,0.0,1.0
GOOG,2021-03-29 00:00:00+00:00,2055.95,2058.43,2015.62,2027.88,1229777,2055.95,2058.43,2015.62,2027.88,1229777,0.0,1.0
GOOG,2021-03-30 00:00:00+00:00,2055.54,2070.78,2044.03,2057.63,1036774,2055.54,2070.78,2044.03,2057.63,1036774,0.0,1.0
GOOG,2021-03-31 00:00:00+00:00,2068.63,2093.3273,2056.745,2059.12,1459930,2068.63,2093.3273,2056.745,2059.12,1459930,0.0,1.0
GOOG,2021-04-01 00:00:00+00:00,2137.75,2142.94,2096.89,2097.95,1698978,2137.75,2142.94,2096.89,2097.95,1698978,0.0,1.0
GOOG,2021-04-05 00:00:00+00:00,2225.55,2237.31,2151.62,2152.94,2164875,2225.55,2237.31,2151.62,2152.94,2164875,0.0,1.0
GOOG,2021-04-06 00:00:00+00:00,2224.75,2237.66,2214.8,2222.5,1353036,2224.75,2237.66,2214.8,2222.5,1353036,0.0,1.0
GOOG,2021-04-07 00:00:00+00:00,2249.68,2255.0,2225.3303,2226.13,1289861,2249.68,2255.0,2225.3303,2226.13,1289861,0.0,1.0
GOOG,2021-04-08 00:00:00+00:00,2265.44,2284.005,2257.68,2277.96,1358259,2265.44,2284.005,2257.68,2277.96,1358259,0.0,1.0
GOOG,2021-04-09 00:00:00+00:00,2285.88,2289.04,2253.7139,2256.7,1044365,2285.88,2289.04,2253.7139,2256.7,1044365,0.0,1.0
GOOG,2021-04-12 00:00:00+00:00,2254.79,2275.32,2238.465,2266.25,1565851,2254.79,2275.32,2238.465,2266.25,1565851,0.0,1.0
