,ExpDate,StrikePrice,Ticker,Type,Last,Chg,Bid,Ask,Vol,Open Int,Delta,Gamma,Rho,Theta,Vega,currentDate,Implied volatility,Underlying asset price,Expiration time,new_index
6700,3/3/17,122,TLT,Call,0.38,0.07,0.39,0.43,156,443,0.25862,0.17955,0.01187,-0.03004,0.06609,2/17/17,0.0993,120.32,0.038329911,782
6705,3/3/17,125.5,TLT,Call,0.06,0.02,0.04,0.06,131,245,0.05432,0.03743,0.00249,-0.01364,0.02998,2/17/17,0.12428,120.32,0.038329911,783
6707,3/3/17,126.5,TLT,Call,0.04,0.02,0.02,0.04,1,130,0.02378,0,0.00109,-0.0075,0.0282,2/17/17,0.13024,120.32,0.038329911,784
6711,3/10/17,119,TLT,Call,1.98,0.38,1.97,2.03,132,126,0.85079,0.13166,0.05764,-0.02702,0.06345,2/17/17,0.0903,120.32,0.057494867,785
6712,3/10/17,119.5,TLT,Call,1.76,0.74,1.65,1.74,15,136,0.77035,0.16476,0.05239,-0.03025,0.10089,2/17/17,0.10021,120.32,0.057494867,786
6713,3/10/17,120,TLT,Call,1.39,0.28,1.39,1.43,267,418,0.66611,0.18079,0.04542,-0.03259,0.1061,2/17/17,0.09946,120.32,0.057494867,787
6716,3/10/17,121.5,TLT,Call,0.79,0.17,0.75,0.79,759,2849,0.41573,0.14608,0.02843,-0.03635,0.11612,2/17/17,0.10772,120.32,0.057494867,788
6717,3/10/17,122,TLT,Call,0.59,0.1,0.6,0.63,163,699,0.32538,0.15338,0.02241,-0.03093,0.12005,2/17/17,0.102,120.32,0.057494867,789
6725,3/10/17,126,TLT,Call,0.1,0.01,0.09,0.11,23,117,0.05631,0.03517,0.0039,-0.01046,0.03847,2/17/17,0.12653,120.32,0.057494867,790
6732,3/17/17,118,TLT,Call,2.88,0.44,2.85,2.93,90,1939,0.99605,0.01018,0.08914,-0.0182,0.01047,2/17/17,0.08725,120.32,0.076659822,791
6738,3/17/17,124,TLT,Call,0.39,0.09,0.38,0.41,239,9034,0.19458,0.08213,0.01788,-0.02224,0.09822,2/17/17,0.11666,120.32,0.076659822,792
6741,3/17/17,127,TLT,Call,0.13,0.05,0.1,0.14,12,7158,0.0811,0.03622,0.00746,-0.01417,0.04392,2/17/17,0.12961,120.32,0.076659822,793
6742,3/17/17,128,TLT,Call,0.09,0.01,0.07,0.11,63,12068,0.05285,0.02504,0.00487,-0.00991,0.04498,2/17/17,0.13119,120.32,0.076659822,794
6743,3/17/17,130,TLT,Call,0.06,0.02,0.03,0.06,33,15877,0.02451,0,0.00226,-0.006,0.03896,2/17/17,0.14216,120.32,0.076659822,795
6744,3/17/17,131,TLT,Call,0.04,0.02,0.02,0.06,2,1838,0.03752,0.01461,0.00343,-0.00962,0.04422,2/17/17,0.14627,120.32,0.076659822,796
6749,3/24/17,121,TLT,Call,1.34,0.07,1.33,1.38,14,134,0.51907,0.11937,0.05892,-0.03243,0.14579,2/17/17,0.09832,120.32,0.095824778,797
6751,3/24/17,122,TLT,Call,0.99,0.23,0.97,1.01,19,254,0.40686,0.11115,0.04637,-0.02989,0.1525,2/17/17,0.10208,120.32,0.095824778,798
6753,3/24/17,123,TLT,Call,0.68,0.03,0.69,0.73,23,333,0.26973,0.11365,0.03118,-0.0212,0.10999,2/17/17,0.10084,120.32,0.095824778,799
6761,3/24/17,128,TLT,Call,0.12,0.02,0.11,0.13,26,13,0.04385,0.02272,0.0051,-0.00667,0.05339,2/17/17,0.12422,120.32,0.095824778,800
6762,3/24/17,129,TLT,Call,0.1,-0.07,0.08,0.1,1,3,0.04804,0.02109,0.00555,-0.00815,0.05191,2/17/17,0.12561,120.32,0.095824778,801
6763,3/3/17,114,TLT,Put,0.03,-0.02,0.01,0.04,31,427,-0.0134,0.01053,-0.0006,-0.00443,0.00783,2/17/17,0.14247,120.32,0.038329911,802
6772,3/3/17,119.5,TLT,Put,0.78,-0.22,0.79,0.84,6840,1590,-0.34471,0.12187,-0.01369,-0.04161,0.08865,2/17/17,0.12426,120.32,0.038329911,803
6774,3/3/17,120.5,TLT,Put,1.34,-0.21,1.27,1.33,39,262,-0.47359,0.11473,-0.01677,-0.05803,0.09095,2/17/17,0.13675,120.32,0.038329911,804
6775,3/3/17,121,TLT,Put,1.54,-0.47,1.57,1.64,16,93,-0.53022,0.12398,-0.01877,-0.04923,0.09196,2/17/17,0.13021,120.32,0.038329911,805
6776,3/3/17,121.5,TLT,Put,1.9,-0.46,1.9,1.98,5,70,-0.5826,0.11424,-0.02035,-0.04929,0.09284,2/17/17,0.13591,120.32,0.038329911,806
6777,3/3/17,122,TLT,Put,2.35,-1.24,2.23,2.35,5,220,-0.60641,0.08946,-0.02176,-0.06196,0.09303,2/17/17,0.15178,120.32,0.038329911,807
6782,3/10/17,112,TLT,Put,0.03,0.02,0.02,0.04,184,55,-0.01313,0.00784,-0.00089,-0.0038,0.00933,2/17/17,0.15343,120.32,0.057494867,808
6783,3/10/17,114,TLT,Put,0.08,-0.02,0.06,0.09,11,220,-0.07077,0.02829,-0.00469,-0.01785,0.03543,2/17/17,0.14474,120.32,0.057494867,809
6787,3/10/17,116,TLT,Put,0.22,-0.02,0.19,0.22,63,526,-0.14309,0.04926,-0.00916,-0.02604,0.06816,2/17/17,0.13671,120.32,0.057494867,810
6788,3/10/17,117,TLT,Put,0.37,-0.09,0.34,0.36,12,240,-0.19405,0.06226,-0.01254,-0.03214,0.06963,2/17/17,0.1297,120.32,0.057494867,811
6790,3/10/17,118,TLT,Put,0.54,-0.17,0.55,0.57,2,1124,-0.23503,0.08005,-0.0134,-0.03245,0.10527,2/17/17,0.13238,120.32,0.057494867,812
6799,3/17/17,112,TLT,Put,0.05,-0.02,0.04,0.07,64,3494,-0.02061,0.01047,-0.00172,-0.00443,0.03001,2/17/17,0.14501,120.32,0.076659822,813
